field,rmse_prior,rmse_ldm,mre_prior,mre_ldm
Te_eV,1.9753759053902285e-16,1.9698729227708082e-16,2.00051,1.926598
Ti_eV,2.442426939395162e-16,2.436497527016831e-16,4.0872483,3.8945913
n_tot_m3,5.216588220511645e+23,5.216586221568757e+23,455.1299,441.86
n_e_m3,6.897784680074046e+20,6.896336520662921e+20,3.6717901,3.682772
fnixap_atoms_s,2.2263349727756993e+24,2.2646900966686167e+24,0.5081984,0.48980278
na_D0,5.1567606858046616e+23,5.156760000932179e+23,2776.5593,3377.8242
na_D+,6.888693847741588e+20,6.88733076753738e+20,7.366537,7.1552267
na_N0,3.5400857330965803e+22,3.5400869597108635e+22,1634.0873,1852.9137
na_N+,1.077566793795986e+19,1.0728183004973349e+19,5234.242,5859.511
na_N2+,2.2862869025819359e+18,2.269691856205427e+18,356.7132,368.48123
na_N3+,1.2166482664187556e+18,1.2146156495558764e+18,79.06257,82.62036
na_N4+,6.260426114317722e+17,6.248286544664547e+17,14.881767,14.840948
na_N5+,7.335518190905248e+17,7.333701635666676e+17,9.976511,9.455001
na_N6+,7.759118968708984e+16,7.763830259995766e+16,19.176634,19.099068
na_N7+,1.738728605922414e+17,1.7421121704326064e+17,73.90143,74.17835
ua_D+,29424.044036687377,29431.592547077547,4.610383,6.4044056
ua_N+,11917.001620865482,11906.310032414625,4.7285447,5.0464954
